Provinsi,Tahun,SD / Sederajat,SMP / Sederajat,SMA / Sederajat,Prevalensi Ketidakcukupan Konsumsi Pangan (Persen),Stunting,Konsumsi Kalori Per Hari Per Kapita,Konsumsi Protein Per Hari Per Kapita,Kemisikinan Maret,Akses Sanitasi Bersih,Proporsi Wanita Menikah/Menjadi Ibu di Usia Muda,Persentase Bayi Usia 0-6 Bulan Mendapatkan ASI,Melahirkan di Faskes
JAWA BARAT,2020,97.76,88.17,63.56,3.9,25.55,2173.59,64.38,7.88,71.4,11.96,76.11,86.88
JAWA TENGAH,2020,97.2,89,55.82,11.8,26.9,2054.43,60.19,11.41,83.24,10.05,76.3,98.09
DI YOGYAKARTA,2020,96.43,92.36,87.99,9.9,19.88,2146.57,68.95,12.28,96.96,1.83,78.93,99.76
JAWA TIMUR,2020,96.81,89.98,63.53,8.58,25.64,2080.67,60.27,11.09,80.98,10.67,66.9,96.09
BANTEN,2020,96.03,86.7,64.24,2.11,21.84,2250.36,67.39,5.92,82,6.23,68.84,86.69
BALI,2020,96.66,93.21,74.88,4.01,13.68,2293.11,66.61,3.78,95.01,8.79,64.92,98.33
NUSA TENGGARA BARAT,2020,97.29,89.91,64.66,2.97,38.15,2441.93,73.66,13.97,82.89,16.61,73.78,93.9
NUSA TENGGARA TIMUR,2020,86.92,78.81,50.65,13.12,42.99,1948.11,54.88,20.9,69.7,9.22,76.41,80.65
KALIMANTAN BARAT,2020,91.79,80.88,55.23,19.92,30.9,1907.88,55.45,7.17,75.81,17.14,66.42,72.73
KALIMANTAN TENGAH,2020,95.45,84.83,60.77,10.1,30.48,2141.22,62.69,4.82,72.31,16.35,52.98,57.89
KALIMANTAN SELATAN,2020,94.1,82.48,63.05,2.72,30.93,2271.73,68.57,4.38,81.17,16.24,63.55,80.45
KALIMANTAN TIMUR,2020,95.84,92.4,71.63,8.24,27.49,2019.56,64.09,6.1,89.17,11.79,71.13,90.48
KALIMANTAN UTARA,2020,96.38,87.14,67.77,12.11,25.76,1944.47,63.86,6.8,82.09,12.7,76.98,90.03
SULAWESI UTARA,2020,95.58,86.69,73.79,4.49,19.73,2152.32,64.74,7.62,85.49,14.01,58.6,91.38
SULAWESI TENGAH,2020,95.05,82.79,57.68,8.85,29.66,2039.84,57.28,12.92,74.61,14.89,61.97,77.26
SULAWESI SELATAN,2020,96.13,85.08,66.22,10.14,29.28,2093.31,61.47,8.72,88.96,11.25,76.21,92.72
SULAWESI TENGGARA,2020,95.28,89.18,68.28,10.06,29.76,2027.62,60.95,11,82.38,16.09,60.48,56.64
GORONTALO,2020,91.9,80.1,55.35,10.33,32.72,2045.01,58.82,15.22,75.68,14.73,56.22,88.78
SULAWESI BARAT,2020,94.7,83.08,56.6,9.16,40.44,2074.92,57.71,10.87,77.07,17.12,71.54,81.59
MALUKU,2020,97.47,88.04,70.55,35.55,27.94,1772.15,51.37,17.44,75.06,6.84,57.19,43.35
MALUKU UTARA,2020,95.59,87.41,66.52,35.48,27.23,1773.4,48.37,6.78,75.99,15.29,62.41,62.23
PAPUA BARAT,2020,89.25,83.47,61.49,23.09,23.42,1902.71,55.16,21.37,78.71,12.91,59.96,73.96
PAPUA,2020,78.4,65.75,30.92,31.49,28.05,1914.12,46.52,26.64,40.31,13.78,74.56,62.46
ACEH,2021,99.44,93.43,74.36,6.9,33.2,2171.13,63.02,15.33,77.55,4.6,66.66,91.31
SUMATERA UTARA,2021,98.57,91.35,72.81,6.33,25.8,2149.23,63.26,9.01,82.02,4.82,57.83,87.43
SUMATERA BARAT,2021,95.29,89.49,70.06,6.02,23.3,2135.3,58.39,6.63,68.68,3.48,74.16,93.22
RIAU,2021,96.91,87.11,68.94,10.61,22.3,2079.53,58.04,7.12,83.64,5.55,70.29,81.81
JAMBI,2021,98.54,89,64.51,9.25,22.4,2140.54,60.01,8.09,80.36,10.67,71.37,73.07
SUMATERA SELATAN,2021,97.82,87.68,67.2,6.82,24.8,2232.11,63.62,12.84,77.29,12.24,69.93,82.92
BENGKULU,2021,98.16,89.94,62.46,8.64,22.1,2124.59,58.9,15.22,79.81,11.93,67.08,81.4
