,Provinsi,Tahun,SD / Sederajat,SMP / Sederajat,SMA / Sederajat,Prevalensi Ketidakcukupan Konsumsi Pangan (Persen),Stunting,Konsumsi Kalori Per Hari Per Kapita,Konsumsi Protein Per Hari Per Kapita,Kemisikinan Maret,Akses Sanitasi Bersih
116,JAWA TIMUR,2021,97.76,90.3,66.33,9.14,23.5,2111.8,60.68,11.4,80.97
117,BANTEN,2021,98.82,90.63,66.9,2.8,24.5,2259.08,66.69,6.66,82.89
118,BALI,2021,97.02,94.26,75.86,7.43,10.9,2196.81,62.84,4.53,95.95
119,NUSA TENGGARA BARAT,2021,98.71,92.19,65.71,1.78,31.4,2542.98,76.79,14.14,82.85
120,NUSA TENGGARA TIMUR,2021,91.84,78.83,44.88,11.84,37.8,2020.33,57.44,20.99,73.36
121,KALIMANTAN BARAT,2021,94.29,79.65,54.27,19.6,29.8,1941.4,57.0,7.15,78.39
122,KALIMANTAN TENGAH,2021,97.45,89.76,61.04,8.88,27.4,2194.45,63.95,5.16,73.77
123,KALIMANTAN SELATAN,2021,95.67,84.06,63.59,2.78,30.0,2295.98,69.34,4.83,81.43
124,KALIMANTAN TIMUR,2021,96.82,95.34,74.26,12.56,22.8,1981.64,61.29,6.54,89.77
125,KALIMANTAN UTARA,2021,95.77,90.14,62.3,12.75,27.5,2023.44,64.88,7.36,79.8
126,SULAWESI UTARA,2021,96.1,91.05,68.56,6.91,21.6,2109.13,63.39,7.77,84.85
127,SULAWESI TENGAH,2021,96.19,85.42,61.16,10.63,29.7,2008.55,56.3,13.0,76.06
128,SULAWESI SELATAN,2021,97.3,88.18,69.43,7.93,27.4,2144.64,63.24,8.78,91.57
129,SULAWESI TENGGARA,2021,95.58,90.88,70.65,11.17,30.2,2046.29,60.92,11.66,85.62
130,GORONTALO,2021,93.44,81.22,53.73,14.84,29.0,2009.24,57.32,15.61,78.58
131,SULAWESI BARAT,2021,95.93,86.09,56.22,10.81,33.8,2098.41,58.49,11.29,80.12
132,MALUKU,2021,98.5,93.08,68.12,29.62,28.1,1874.88,53.45,17.87,76.77
133,MALUKU UTARA,2021,96.97,92.93,66.95,28.86,27.5,1862.15,51.59,6.89,77.11
134,PAPUA BARAT,2021,91.81,85.18,59.08,24.59,26.2,1911.04,54.82,21.84,77.89
135,PAPUA,2021,78.43,66.06,32.95,37.37,29.5,1879.71,44.94,26.86,40.81
136,ACEH,2022,99.45,97.63,70.67,10.98,33.2,2064.3,61.17,14.64,77.48
137,SUMATERA UTARA,2022,98.74,92.84,77.16,8.7,25.8,2123.41,64.65,8.42,82.3
138,SUMATERA BARAT,2022,97.87,88.83,65.96,7.31,23.3,2109.43,59.24,5.92,69.27
139,RIAU,2022,98.2,88.53,66.91,15.12,22.3,2022.05,59.69,6.78,84.06
140,JAMBI,2022,97.62,86.57,65.85,12.14,22.4,2069.51,60.7,7.62,79.54
141,SUMATERA SELATAN,2022,97.53,88.41,67.07,7.37,24.8,2182.47,65.18,11.9,78.62
142,BENGKULU,2022,97.65,90.81,64.88,11.66,22.1,2037.55,60.29,14.62,79.58
143,LAMPUNG,2022,98.41,90.99,62.42,14.63,18.5,2002.72,57.67,11.57,83.65
144,KEPULAUAN BANGKA BELITUNG,2022,96.45,84.72,66.87,15.19,18.6,2065.86,67.57,4.45,91.63
